"","Year","Male","Age","Survival"
"60",2013,0,59,0.645899732561098
"61",2013,0,60,0.634228486923725
"62",2013,0,61,0.621642941566863
"63",2013,0,62,0.608206266766268
"64",2013,0,63,0.593984888606199
"65",2013,0,64,0.579047944000781
"66",2013,0,65,0.563466723773115
"67",2013,0,66,0.546510149345513
"68",2013,0,67,0.528328938325648
"69",2013,0,68,0.509080867400918
"70",2013,0,69,0.488928508295599
"71",2013,0,70,0.468036965533988
"72",2013,0,71,0.446001394627265
"73",2013,0,72,0.423071281478162
"74",2013,0,73,0.399495730876246
"75",2013,0,74,0.375519078805291
"76",2013,0,75,0.35137684463766
"77",2013,0,76,0.323688191008174
"78",2013,0,77,0.293557484584754
"79",2013,0,78,0.262103032161432
"80",2013,0,79,0.230389943296445
"81",2013,0,80,0.199373565590364
"82",2013,1,0,0.943599935314917
"83",2013,1,1,0.937334565664734
"84",2013,1,2,0.932348599902277
"85",2013,1,3,0.928622011234688
"86",2013,1,4,0.926139877618692
"87",2013,1,5,0.924892282131938
"88",2013,1,6,0.923705113047957
"89",2013,1,7,0.922578141889109
"90",2013,1,8,0.921511151942766
"91",2013,1,9,0.920503938191863
"92",2013,1,10,0.919556307249239
"93",2013,1,11,0.918546637403291
"94",2013,1,12,0.917475135218436
"95",2013,1,13,0.916342019742594
"96",2013,1,14,0.915147522432553
"97",2013,1,15,0.913891887075179
"98",2013,1,16,0.912494154110736
"99",2013,1,17,0.910954981061293
"100",2013,1,18,0.909275091204545
"101",2013,1,19,0.907455273007384
"102",2013,1,20,0.905496379509163
"103",2013,1,21,0.903189763321696
"104",2013,1,22,0.900538104892883
"105",2013,1,23,0.897544479963357
"106",2013,1,24,0.894212353621308
"107",2013,1,25,0.890545573618914
"108",2013,1,26,0.886483647300097
"109",2013,1,27,0.882032125649308
"110",2013,1,28,0.877197072295854
"111",2013,1,29,0.871985049751954
"112",2013,1,30,0.866403104572659
"113",2013,1,31,0.860561324280993
"114",2013,1,32,0.854465458754582
"115",2013,1,33,0.848121478925625
"116",2013,1,34,0.841535567044721
"117",2013,1,35,0.834714106653912
"118",2013,1,36,0.827645629420291
"119",2013,1,37,0.820337367134874
"120",2013,1,38,0.812796750560453
"121",2013,1,39,0.805031396870937
"122",2013,1,40,0.797049096865135
"123",2013,1,41,0.78886190405615
"124",2013,1,42,0.780477786526411
"125",2013,1,43,0.771904840620401
"126",2013,1,44,0.763151277988091
"127",2013,1,45,0.754225412561998
"128",2013,1,46,0.745324935989663
"129",2013,1,47,0.736451424329985
"130",2013,1,48,0.727606426437633
"131",2013,1,49,0.718791463634169
"132",2013,1,50,0.710008029397613
"133",2013,1,51,0.701009528019983
"134",2013,1,52,0.691806905913489
"135",2013,1,53,0.682411247958604
"136",2013,1,54,0.672833755440336
"137",2013,1,55,0.663085724013388
"138",2013,1,56,0.652630212700776
"139",2013,1,57,0.641505321217385
"140",2013,1,58,0.629751110722175
"141",2013,1,59,0.617409364123764
"142",2013,1,60,0.604523339547101
"143",2013,1,61,0.590689606529386
"144",2013,1,62,0.575986071501286
"145",2013,1,63,0.560494079172664
"146",2013,1,64,0.544297666885902
"147",2013,1,65,0.527482810970901
"148",2013,1,66,0.50938905639045
"149",2013,1,67,0.4901853961243
"150",2013,1,68,0.470046242885425
"151",2013,1,69,0.449148819324056
"152",2013,1,70,0.427670602515913
"153",2013,1,71,0.40511763388993
"154",2013,1,72,0.381773262600481
"155",2013,1,73,0.357917129937042
"156",2013,1,74,0.333819784162695
"157",2013,1,75,0.309737845175465
"158",2013,1,76,0.282854060961184
"159",2013,1,77,0.254223977332404
"160",2013,1,78,0.224882957727533
"161",2013,1,79,0.195786401944031
"162",2013,1,80,0.167762330603279
